Date,Bank,Currency,Buy Rate,Sell Rate,Week
2023-12-25,VICTORIABANK,RON,"3,78","3,96",2890175
2023-12-25,VICTORIABANK,GBP,"21,55","22,60",2890175
2023-12-25,VICTORIABANK,USD,"17,30","17,70",2890175
2023-12-25,VICTORIABANK,CHF,"19,90","20,95",2890175
2023-12-25,VICTORIABANK,EUR,"19,05","19,50",2890175
2023-12-26,VICTORIABANK,USD,"17,30","17,72",2890175
2023-12-26,MICB,USD,"17,30","17,67",2890175
2023-12-26,MAIB,USD,"17,35","17,65",2890175
2023-12-26,MAIB,UAH,"0,44","0,50",2890175
2023-12-26,VICTORIABANK,RON,"3,78","3,96",2890175
2023-12-26,MAIB,RON,"3,79","3,94",2890175
2023-12-26,VICTORIABANK,GBP,"21,50","22,61",2890175
2023-12-26,MICB,RON,"3,77","3,97",2890175
2023-12-26,MAIB,GBP,"21,80","22,45",2890175
2023-12-26,VICTORIABANK,EUR,"19,05","19,53",2890175
2023-12-26,MICB,EUR,"19,01","19,40",2890175
2023-12-26,MAIB,EUR,"19,10","19,42",2890175
2023-12-26,VICTORIABANK,CHF,"19,80","20,85",2890175
2023-12-26,MICB,CHF,"19,70","20,70",2890175
2023-12-26,MAIB,CHF,"19,90","20,68",2890175
2023-12-26,MICB,GBP,"21,00","22,50",2890175
2023-12-27,VICTORIABANK,USD,"17,20","17,65",2890175
2023-12-27,MICB,USD,"17,20","17,58",2890175
2023-12-27,MAIB,USD,"17,22","17,55",2890175
2023-12-27,MAIB,UAH,"0,44","0,50",2890175
2023-12-27,VICTORIABANK,RON,"3,77","3,95",2890175
2023-12-27,MICB,RON,"3,77","3,96",2890175
2023-12-27,VICTORIABANK,GBP,"21,40","22,55",2890175
2023-12-27,MAIB,RON,"3,78","3,93",2890175
2023-12-27,MAIB,GBP,"21,70","22,40",2890175
2023-12-27,VICTORIABANK,EUR,"19,06","19,45",2890175
2023-12-27,MICB,EUR,"18,95","19,35",2890175
2023-12-27,MAIB,EUR,"19,00","19,35",2890175
2023-12-27,VICTORIABANK,CHF,"19,95","20,83",2890175
2023-12-27,MICB,CHF,"19,70","20,70",2890175
2023-12-27,MAIB,CHF,"19,80","20,60",2890175
2023-12-27,MICB,GBP,"21,00","22,50",2890175
2023-12-28,VICTORIABANK,USD,"17,20","17,59",2890175
2023-12-28,MICB,USD,"17,10","17,48",2890175
2023-12-28,MAIB,USD,"17,16","17,49",2890175
2023-12-28,MAIB,UAH,"0,44","0,50",2890175
2023-12-28,VICTORIABANK,RON,"3,80","3,96",2890175
2023-12-28,MICB,RON,"3,76","3,96",2890175
2023-12-28,MAIB,RON,"3,78","3,93",2890175
2023-12-28,VICTORIABANK,GBP,"21,75","22,65",2890175
2023-12-28,MICB,GBP,"21,00","22,50",2890175
2023-12-28,MAIB,GBP,"21,70","22,40",2890175
2023-12-28,VICTORIABANK,EUR,"19,09","19,55",2890175
2023-12-28,MICB,EUR,"18,90","19,33",2890175
2023-12-28,MAIB,EUR,"18,98","19,36",2890175
2023-12-28,VICTORIABANK,CHF,"20,00","21,05",2890175
2023-12-28,MICB,CHF,"19,80","20,80",2890175
2023-12-28,MAIB,CHF,"19,95","20,75",2890175
2023-12-29,VICTORIABANK,USD,"17,25","17,65",2890175
2023-12-29,MICB,USD,"17,18","17,56",2890175
2023-12-29,MAIB,USD,"17,25","17,57",2890175
2023-12-29,MAIB,UAH,"0,44","0,50",2890175
2023-12-29,VICTORIABANK,RON,"3,80","3,96",2890175
2023-12-29,MICB,RON,"3,76","3,96",2890175
2023-12-29,MAIB,RON,"3,78","3,93",2890175
2023-12-29,VICTORIABANK,GBP,"21,55","22,60",2890175
2023-12-29,MAIB,CHF,"20,20","20,80",2890175
2023-12-29,MAIB,GBP,"21,90","22,40",2890175
2023-12-29,VICTORIABANK,EUR,"19,16","19,59",2890175
2023-12-29,MICB,EUR,"19,02","19,46",2890175
2023-12-29,MAIB,EUR,"19,12","19,47",2890175
2023-12-29,VICTORIABANK,CHF,"20,05","21,10",2890175
2023-12-29,MICB,CHF,"19,80","20,80",2890175
2023-12-29,MICB,GBP,"21,00","22,40",2890175
2023-12-30,VICTORIABANK,USD,"17,20","17,59",2890175
2023-12-30,VICTORIABANK,RON,"3,80","3,95",2890175
2023-12-30,VICTORIABANK,EUR,"19,07","19,49",2890175
2023-12-30,VICTORIABANK,CHF,"20,05","21,10",2890175
2023-12-30,VICTORIABANK,GBP,"21,40","22,45",2890175
2023-12-31,VICTORIABANK,RON,"3,80","3,95",2890175
2023-12-31,VICTORIABANK,CHF,"20,05","21,10",2890175
2023-12-31,VICTORIABANK,EUR,"19,07","19,49",2890175
2023-12-31,VICTORIABANK,GBP,"21,40","22,45",2890175
2023-12-31,VICTORIABANK,USD,"17,20","17,59",2890175
