Date,Bank,Currency,Buy Rate,Sell Rate,Week
2023-12-01,MAIB,CHF,"20,00","20,52",2890171
2023-12-01,VICTORIABANK,USD,"17,57","17,95",2890171
2023-12-01,MICB,USD,"17,57","17,91",2890171
2023-12-01,MAIB,USD,"17,63","17,93",2890171
2023-12-01,MAIB,UAH,"0,44","0,50",2890171
2023-12-01,MICB,RON,"3,78","3,98",2890171
2023-12-01,MAIB,RON,"3,82","3,97",2890171
2023-12-01,VICTORIABANK,GBP,"21,75","22,80",2890171
2023-12-01,VICTORIABANK,RON,"3,78","3,96",2890171
2023-12-01,MAIB,GBP,"22,17","22,67",2890171
2023-12-01,VICTORIABANK,EUR,"19,10","19,55",2890171
2023-12-01,MICB,EUR,"19,20","19,56",2890171
2023-12-01,MAIB,EUR,"19,25","19,57",2890171
2023-12-01,VICTORIABANK,CHF,"19,70","20,70",2890171
2023-12-01,MICB,CHF,"19,50","20,50",2890171
2023-12-01,MICB,GBP,"20,70","22,70",2890171
2023-12-02,VICTORIABANK,CHF,"19,70","20,68",2890171
2023-12-02,VICTORIABANK,EUR,"19,05","19,49",2890171
2023-12-02,VICTORIABANK,GBP,"21,70","22,70",2890171
2023-12-02,VICTORIABANK,RON,"3,75","3,95",2890171
2023-12-02,VICTORIABANK,USD,"17,60","17,95",2890171
2023-12-03,VICTORIABANK,USD,"17,60","17,95",2890171
2023-12-03,VICTORIABANK,GBP,"21,70","22,70",2890171
2023-12-03,VICTORIABANK,RON,"3,75","3,95",2890171
2023-12-03,VICTORIABANK,CHF,"19,70","20,68",2890171
2023-12-03,VICTORIABANK,EUR,"19,05","19,49",2890171
