Date,Bank,Currency,Buy Rate,Sell Rate
2023-12-22,VICTORIABANK,RON,"3,80","3,96"
2023-12-22,VICTORIABANK,GBP,"21,75","22,60"
2023-12-22,VICTORIABANK,CHF,"20,00","20,80"
2023-12-23,VICTORIABANK,USD,"17,30","17,70"
2023-12-23,VICTORIABANK,EUR,"19,05","19,50"
2023-12-23,VICTORIABANK,RON,"3,78","3,96"
2023-12-23,VICTORIABANK,GBP,"21,55","22,60"
2023-12-23,VICTORIABANK,CHF,"19,90","20,95"
2023-12-24,VICTORIABANK,USD,"17,30","17,70"
2023-12-24,VICTORIABANK,EUR,"19,05","19,50"
2023-12-24,VICTORIABANK,RON,"3,78","3,96"
2023-12-24,VICTORIABANK,GBP,"21,55","22,60"
2023-12-24,VICTORIABANK,CHF,"19,90","20,95"
2023-12-25,VICTORIABANK,USD,"17,30","17,70"
2023-12-25,VICTORIABANK,EUR,"19,05","19,50"
2023-12-25,VICTORIABANK,RON,"3,78","3,96"
2023-12-25,VICTORIABANK,GBP,"21,55","22,60"
2023-12-25,VICTORIABANK,CHF,"19,90","20,95"
2023-12-26,VICTORIABANK,USD,"17,30","17,72"
2023-12-26,VICTORIABANK,EUR,"19,05","19,53"
2023-12-26,VICTORIABANK,RON,"3,78","3,96"
2023-12-26,VICTORIABANK,GBP,"21,50","22,61"
2023-12-26,VICTORIABANK,CHF,"19,80","20,85"
2023-12-27,VICTORIABANK,USD,"17,20","17,65"
2023-12-27,VICTORIABANK,EUR,"19,06","19,45"
2023-12-27,VICTORIABANK,RON,"3,77","3,95"
2023-12-27,VICTORIABANK,GBP,"21,40","22,55"
2023-12-27,VICTORIABANK,CHF,"19,95","20,83"
2023-12-28,VICTORIABANK,USD,"17,20","17,59"
2023-12-28,VICTORIABANK,EUR,"19,09","19,55"
2023-12-28,VICTORIABANK,RON,"3,80","3,96"
2023-12-28,VICTORIABANK,GBP,"21,75","22,65"
2023-12-28,VICTORIABANK,CHF,"20,00","21,05"
2023-12-29,VICTORIABANK,USD,"17,25","17,65"
2023-12-29,VICTORIABANK,EUR,"19,16","19,59"
2023-12-29,VICTORIABANK,RON,"3,80","3,96"
2023-12-29,VICTORIABANK,GBP,"21,55","22,60"
2023-12-29,VICTORIABANK,CHF,"20,05","21,10"
2023-12-30,VICTORIABANK,USD,"17,20","17,59"
2023-12-30,VICTORIABANK,EUR,"19,07","19,49"
2023-12-30,VICTORIABANK,RON,"3,80","3,95"
2023-12-30,VICTORIABANK,GBP,"21,40","22,45"
2023-12-30,VICTORIABANK,CHF,"20,05","21,10"
2023-12-31,VICTORIABANK,USD,"17,20","17,59"
2023-12-31,VICTORIABANK,EUR,"19,07","19,49"
2023-12-31,VICTORIABANK,RON,"3,80","3,95"
2023-12-31,VICTORIABANK,GBP,"21,40","22,45"
2023-12-31,VICTORIABANK,CHF,"20,05","21,10"
